Id,Track.Name,Artist.Name,Genre,Average Rating
1,Señorita,Shawn Mendes,canadian pop,2.44
2,China,Anuel AA,reggaeton flow,4.52
3,boyfriend (with Social House),Ariana Grande,dance pop,3.4
4,Beautiful People (feat. Khalid),Ed Sheeran,pop,3.56
5,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,4.84
6,I Don't Care (with Justin Bieber),Ed Sheeran,pop,3.24
7,Ransom,Lil Tecca,trap music,4.52
8,How Do You Sleep?,Sam Smith,pop,4.2
9,Old Town Road - Remix,Lil Nas X,country rap,3.72
10,bad guy,Billie Eilish,electropop,5
11,Callaita,Bad Bunny,reggaeton,4.68
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,3.56
13,Someone You Loved,Lewis Capaldi,pop,3.88
14,Otro Trago - Remix,Sech,panamanian pop,3.72
15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,4.52
16,No Guidance (feat. Drake),Chris Brown,dance pop,2.92
17,LA CANCIÓN,J Balvin,latin,4.2
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,4.36
19,Lalala,Y2K,canadian hip hop,3.88
20,Truth Hurts,Lizzo,escape room,4.36
21,Piece Of Your Heart,MEDUZA,pop house,4.36
22,Panini,Lil Nas X,country rap,4.36
23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,3.08
24,Soltera - Remix,Lunay,latin,4.36
25,bad guy (with Justin Bieber),Billie Eilish,electropop,4.04
26,If I Can't Have You,Shawn Mendes,canadian pop,1
27,Dance Monkey,Tones and I,australian pop,3.08
28,It's You,Ali Gatie,canadian hip hop,4.04
29,Con Calma,Daddy Yankee,latin,4.36
30,QUE PRETENDES,J Balvin,latin,4.04
31,Takeaway,The Chainsmokers,edm,3.24
32,7 rings,Ariana Grande,dance pop,4.04
33,0.958333333,Maluma,reggaeton,4.04
34,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,4.04
35,Never Really Over,Katy Perry,dance pop,4.04
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,4.04
37,Otro Trago,Sech,panamanian pop,4.36
38,Antisocial (with Travis Scott),Ed Sheeran,pop,3.72
39,Sucker,Jonas Brothers,boy band,2.6
40,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,dance pop,2.28
41,Higher Love,Kygo,edm,3.88
42,You Need To Calm Down,Taylor Swift,dance pop,4.2
43,Shallow,Lady Gaga,dance pop,3.72
44,Talk,Khalid,pop,3.24
45,Con Altura,ROSALÍA,r&b en espanol,3.88
46,One Thing Right,Marshmello,brostep,3.88
47,Te Robaré,Nicky Jam,latin,3.88
48,Happier,Marshmello,brostep,3.88
49,Call You Mine,The Chainsmokers,edm,3.88
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2.92
